,record_num,id,latitude,longitude,current_stop_sequence,direction_id,speed,revenue,current_status,updated_at
0,1,y3299,42.35265558,-71.09037417,15,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 18:33:12
1,2,y3286,42.37304,-71.11759,1,1,,REVENUE,STOPPED_AT,2025-06-10 18:32:45
2,3,y3244,42.34319627,-71.08568932,14,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 18:33:09
3,4,y1839,42.34077016,-71.08192179,16,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 18:33:13
4,5,y1834,42.36306225,-71.09985363,8,1,,REVENUE,STOPPED_AT,2025-06-10 18:33:05
5,6,y1813,42.34041689,-71.0812341,10,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 18:33:16
6,7,y1749,42.33489282,-71.07504263,7,0,,REVENUE,STOPPED_AT,2025-06-10 18:33:14
7,8,y3299,42.35051846,-71.08929499,11,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:01
8,9,y3286,42.33263613,-71.08050737,21,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:01
9,10,y3244,42.34814015,-71.08828355,13,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:00
10,11,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
11,12,y1895,42.3098849,-71.05787662,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:56
12,13,y1839,42.34861444,-71.08851575,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:20:49
13,14,y1834,42.33128913,-71.0772328,5,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:20:56
14,15,y1813,42.36072987,-71.09588653,9,1,,REVENUE,STOPPED_AT,2025-06-10 19:20:53
15,16,y1749,42.3689194,-71.11045399,4,1,,REVENUE,STOPPED_AT,2025-06-10 19:20:56
16,17,y3299,42.35051846,-71.08929499,11,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:01
17,18,y3286,42.33263613,-71.08050737,21,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:01
18,19,y3244,42.34814015,-71.08828355,13,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:00
19,20,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
20,21,y1895,42.3098849,-71.05787662,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:56
21,22,y1839,42.34861444,-71.08851575,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:20:49
22,23,y1834,42.33128913,-71.0772328,5,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:20:56
23,24,y1813,42.36072987,-71.09588653,9,1,,REVENUE,STOPPED_AT,2025-06-10 19:20:53
24,25,y1749,42.3689194,-71.11045399,4,1,,REVENUE,STOPPED_AT,2025-06-10 19:20:56
25,26,y3299,42.3504343,-71.08923747,11,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:08
26,27,y3286,42.33263368,-71.08055229,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:08
27,28,y3244,42.34810749,-71.08827422,13,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:08
28,29,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
29,30,y1895,42.30987009,-71.05788753,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:10
30,31,y1839,42.34862,-71.08852,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:20:58
31,32,y1834,42.33153181,-71.07650005,5,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:08
32,33,y1813,42.36071791,-71.09588774,9,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:10
33,34,y1749,42.36886658,-71.11049033,4,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:06
34,35,y3299,42.34991313,-71.08905215,11,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:14
35,36,y3286,42.33263368,-71.08055229,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:08
36,37,y3244,42.34810673,-71.08827352,13,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:14
37,38,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
38,39,y1895,42.30987009,-71.05788753,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:10
39,40,y1839,42.34864152,-71.08862024,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:15
40,41,y1834,42.33164984,-71.0763078,5,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:17
41,42,y1813,42.36064467,-71.0956643,9,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:17
42,43,y1749,42.36881527,-71.10992721,4,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:18
43,44,y3299,42.34974753,-71.08896381,11,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:29
44,45,y3286,42.33260351,-71.08056861,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:19
45,46,y3244,42.34849016,-71.08862378,13,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:28
46,47,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
47,48,y1895,42.30983,-71.05788,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:20
48,49,y1839,42.34883157,-71.08863891,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:24
49,50,y1834,42.33156805,-71.07612225,5,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:27
50,51,y1813,42.36047986,-71.095475,10,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:24
51,52,y1749,42.36839607,-71.10885406,5,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:27
52,53,y3299,42.34972098,-71.08897926,11,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:34
53,54,y3286,42.33260351,-71.08056861,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:19
54,55,y3244,42.34930514,-71.08866057,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:37
55,56,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
56,57,y1895,42.30983,-71.05788,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:20
57,58,y1839,42.349423,-71.08874738,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:39
58,59,y1834,42.33219212,-71.07529202,5,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:41
59,60,y1813,42.36027791,-71.09517635,10,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:40
60,61,y1749,42.36770552,-71.107548,5,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:39
61,62,y3299,42.34967163,-71.0889188,11,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:49
62,63,y3286,42.33260351,-71.08056861,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:19
63,64,y3244,42.34930804,-71.0887112,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:49
64,65,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
65,66,y1895,42.30983,-71.05788,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:20
66,67,y1839,42.34942084,-71.08872926,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:45
67,68,y1834,42.33256839,-71.07469324,6,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:47
68,69,y1813,42.36031543,-71.09520762,10,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:43
69,70,y1749,42.36729543,-71.10682696,5,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:47
70,71,y3299,42.34931978,-71.08867647,12,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:00
71,72,y3286,42.33260351,-71.08056861,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:19
72,73,y3244,42.34930804,-71.0887112,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:49
73,74,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
74,75,y1895,42.30983,-71.05788,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:21:20
75,76,y1839,42.34942084,-71.08872926,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:45
76,77,y1834,42.33270825,-71.07443436,6,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:55
77,78,y1813,42.36032088,-71.09522338,10,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:53
78,79,y1749,42.36676091,-71.10611921,6,1,,REVENUE,STOPPED_AT,2025-06-10 19:21:56
79,80,y3299,42.34906849,-71.08857031,12,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:12
80,81,y3286,42.33262,-71.08051,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:01
81,82,y3244,42.34930804,-71.0887112,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:21:49
82,83,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
83,84,y1895,42.30983,-71.05788,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:22:05
84,85,y1839,42.34945,-71.08882,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:04
85,86,y1834,42.33267836,-71.07437433,6,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:06
86,87,y1813,42.36010442,-71.09490039,10,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:11
87,88,y1749,42.36668794,-71.10601498,6,1,,REVENUE,STOPPED_AT,2025-06-10 19:22:02
88,89,y3299,42.34907767,-71.08844595,12,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:21
89,90,y3286,42.33262,-71.08051,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:01
90,91,y3244,42.34931451,-71.08869606,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:17
91,92,y1923,42.3297,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:20:20
92,93,y1895,42.30983,-71.05788,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:22:05
93,94,y1839,42.34945,-71.08882,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:04
94,95,y1834,42.33268994,-71.07438713,6,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:20
95,96,y1813,42.35955493,-71.09408013,10,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:23
96,97,y1749,42.36668953,-71.10598852,6,1,,REVENUE,STOPPED_AT,2025-06-10 19:22:22
97,98,y3299,42.34907767,-71.08844595,12,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:21
98,99,y3286,42.33265558,-71.08054989,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:27
99,100,y3244,42.34931451,-71.08869606,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:17
100,101,y1923,42.32973,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:22:20
101,102,y1895,42.30983,-71.05789,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:22:20
102,103,y1839,42.34944,-71.08881,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:19
103,104,y1834,42.33290254,-71.07415549,6,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:29
104,105,y1813,42.35905486,-71.09362033,10,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:31
105,106,y1749,42.36669048,-71.10596576,6,1,,REVENUE,STOPPED_AT,2025-06-10 19:22:32
106,107,y3299,42.34907767,-71.08844595,12,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:21
107,108,y3286,42.33277144,-71.08074513,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:40
108,109,y3244,42.3493,-71.08869,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:34
109,110,y1923,42.32973,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:22:20
110,111,y1895,42.30983,-71.05789,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:22:35
111,112,y1839,42.34944,-71.08881,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:34
112,113,y1834,42.33320619,-71.07373616,6,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:41
113,114,y1813,42.35889713,-71.09349374,10,1,,REVENUE,STOPPED_AT,2025-06-10 19:22:40
114,115,y1749,42.36669048,-71.10596576,6,1,,REVENUE,STOPPED_AT,2025-06-10 19:22:32
115,116,y3299,42.34907767,-71.08844595,12,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:21
116,117,y3286,42.3327615,-71.08074881,22,1,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:52
117,118,y3244,42.34931617,-71.08869657,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:52
118,119,y1923,42.32973,-71.08404,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:22:20
119,120,y1895,42.30983,-71.05789,1,0,,REVENUE,STOPPED_AT,2025-06-10 19:22:35
120,121,y1839,42.34942928,-71.08873464,14,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:52
121,122,y1834,42.33324784,-71.07365384,6,0,,REVENUE,IN_TRANSIT_TO,2025-06-10 19:22:49
